Date,new_cases
20/08/2023,8
27/08/2023,12
03/09/2023,6
10/09/2023,3
17/09/2023,10
24/09/2023,12
01/10/2023,14
08/10/2023,27
15/10/2023,30
22/10/2023,29
29/10/2023,35
05/11/2023,29
12/11/2023,52
19/11/2023,27
26/11/2023,17
03/12/2023,7
10/12/2023,14
17/12/2023,8
24/12/2023,30
31/12/2023,15
07/01/2024,23
14/01/2024,40
21/01/2024,50
28/01/2024,91
04/02/2024,43
11/02/2024,71
18/02/2024,59
25/02/2024,51
03/03/2024,69
10/03/2024,48
17/03/2024,45
24/03/2024,64
31/03/2024,50
07/04/2024,72
14/04/2024,76
21/04/2024,67
28/04/2024,77
05/05/2024,185
12/05/2024,161
19/05/2024,153
26/05/2024,213
02/06/2024,228
09/06/2024,249
16/06/2024,201
23/06/2024,236
30/06/2024,246
07/07/2024,255
14/07/2024,275
21/07/2024,222
28/07/2024,214
04/08/2024,263
11/08/2024,256
18/08/2024,252
25/08/2024,242
01/09/2024,300
08/09/2024,134
15/09/2024,118
